server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s4,sina_s6,192.168.110.66,data/xy/shengbei_s4_9004,shengbei_lianyun_s4,192.168.110.11,sina,3309,10414,192.168.110.66,stopped,
s5,sina_s5,192.168.110.66,data/xy/shengbei_s5_9005,shengbei_lianyun_s5,192.168.110.11,sina,3309,10514,192.168.110.66,running,
s6,sina_s1,192.168.110.59,data/xy/shengbei_s6_9006,shengbei_lianyun_s6,192.168.110.11,sina,3309,10614,192.168.110.59,running,
s7,sina_s2,192.168.110.59,data/xy/shengbei_s7_9007,shengbei_lianyun_s7,192.168.110.11,sina,3309,10714,192.168.110.59,running,
s8,sina_s3,192.168.110.106,data/xy/shengbei_s8_9008,shengbei_lianyun_s8,192.168.110.11,sina,3309,10814,192.168.110.106,stopped,
s9,sina_s4,192.168.110.106,data/xy/shengbei_s9_9009,shengbei_lianyun_s9,192.168.110.11,sina,3309,10914,192.168.110.106,stopped,
s14,sina_s7,192.168.110.59,data/xy/shengbei_s14_9014,shengbei_lianyun_s14,192.168.110.11,sina,3309,11414,192.168.110.59,stopped,
s17,sina_s8,192.168.110.106,data/xy/shengbei_s17_9017,shengbei_lianyun_s17,192.168.110.11,sina,3309,11714,192.168.110.106,running,
s25,sina_s9,192.168.110.66,data/xy/shengbei_s25_9025,shengbei_lianyun_s25,192.168.110.11,sina,3309,12514,192.168.110.66,stopped,
s32,sina_s10,192.168.110.66,data/xy/shengbei_s32_9032,shengbei_lianyun_s32,192.168.110.11,sina,3309,13214,192.168.110.66,stopped,
s34,sina_s11,192.168.110.59,data/xy/shengbei_s34_9034,shengbei_lianyun_s34,192.168.110.11,sina,3309,13414,192.168.110.59,running,
s40,sina_s12,192.168.110.106,data/xy/shengbei_s40_9040,shengbei_lianyun_s40,192.168.110.11,sina,3309,14014,192.168.110.106,stopped,
s45,2144_s1,192.168.110.145,data/xy/shengbei_s45_9045,shengbei_lianyun_s45,192.168.110.11,2144,3310,14514,192.168.110.145,running,
s46,sina_s13,192.168.110.59,data/xy/shengbei_s46_9046,shengbei_lianyun_s46,192.168.110.11,sina,3309,14614,192.168.110.59,stopped,
s49,gtv_s1,192.168.110.146,data/xy/shengbei_s49_9049,shengbei_lianyun_s49,192.168.110.11,gtv,3310,14914,192.168.110.146,running,
s53,7k7k_s1,192.168.110.147,data/xy/shengbei_s53_9053,shengbei_lianyun_s53,192.168.110.11,7k7k,3310,15314,192.168.110.147,running,
s54,2144_s2,192.168.110.145,data/xy/shengbei_s54_9054,shengbei_lianyun_s54,192.168.110.11,2144,3310,15414,192.168.110.145,running,
s56,sina_s14,192.168.110.106,data/xy/shengbei_s56_9056,shengbei_lianyun_s56,192.168.110.11,sina,3311,15614,192.168.110.106,running,
s58,51_s1,192.168.110.148,data/xy/shengbei_s58_9058,shengbei_lianyun_s58,192.168.110.11,51,3310,15814,192.168.110.148,running,
s60,sina_s15,192.168.110.66,data/xy/shengbei_s60_9060,shengbei_lianyun_s60,192.168.110.11,sina,3311,16014,192.168.110.66,stopped,
s66,sina_s16,192.168.110.150,data/xy/shengbei_s66_9066,shengbei_lianyun_s66,192.168.110.11,sina,3311,16614,192.168.110.150,stopped,
s67,sina_s17,192.168.110.150,data/xy/shengbei_s67_9067,shengbei_lianyun_s67,192.168.110.11,sina,3311,16714,192.168.110.150,running,
s68,sina_s18,192.168.110.150,data/xy/shengbei_s68_9068,shengbei_lianyun_s68,192.168.110.11,sina,3311,16814,192.168.110.150,stopped,
s69,sina_s19,192.168.110.151,data/xy/shengbei_s69_9069,shengbei_lianyun_s69,192.168.110.11,sina,3311,16914,192.168.110.151,stopped,
s70,sina_s20,192.168.110.151,data/xy/shengbei_s70_9070,shengbei_lianyun_s70,192.168.110.11,sina,3311,17014,192.168.110.151,running,
s71,2144_s3,192.168.110.145,data/xy/shengbei_s71_9071,shengbei_lianyun_s71,192.168.110.11,2144,3310,17114,192.168.110.145,running,
s72,2144_s4,192.168.110.152,data/xy/shengbei_s72_9072,shengbei_lianyun_s72,192.168.110.11,2144,3310,17214,192.168.110.152,running,
s73,2144_s5,192.168.110.152,data/xy/shengbei_s73_9073,shengbei_lianyun_s73,192.168.110.11,2144,3310,17314,192.168.110.152,running,
s74,gtv_s2,192.168.110.146,data/xy/shengbei_s74_9074,shengbei_lianyun_s74,192.168.110.11,gtv,3311,17414,192.168.110.146,running,
s75,gtv_s3,192.168.110.153,data/xy/shengbei_s75_9075,shengbei_lianyun_s75,192.168.110.11,gtv,3311,17514,192.168.110.153,running,
