server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,
s62,360_s9,10.6.7.173,data/xy/shengbei_s62_9062,shengbei_lianyun_s62,10.6.4.208,360,3306,16214,42.62.62.86,
s39,4399_s2,10.6.1.52,data/xy/shengbei_s39_9039,shengbei_lianyun_s39,10.6.6.162,4399,3306,13914,42.62.62.87,
s63,renren_s5,10.6.5.84,data/xy/shengbei_s63_9063,shengbei_lianyun_s63,10.6.2.83,renren,3306,16314,42.62.62.90,
s60,sina_s15,192.168.110.66,data/xy/shengbei_s60_9060,shengbei_lianyun_s60,192.168.110.11,sina,3311,16014,192.168.110.66,
s82,360_s10,10.6.5.172,data/xy/shengbei_s82_9082,shengbei_lianyun_s82,10.6.4.208,360,3306,18214,42.62.56.196,
s91,1377_s14,10.6.8.102,data/xy/shengbei_s91_9091,shengbei_lianyun_s91,10.6.8.220,1377,3306,19114,42.62.62.19,
s54,2144_s2,192.168.110.145,data/xy/shengbei_s54_9054,shengbei_lianyun_s54,192.168.110.11,2144,3310,15414,192.168.110.145,
s94,awo_s8,10.6.5.216,data/xy/shengbei_s94_9094,shengbei_lianyun_s94,10.6.3.24,awo,3306,19414,42.62.26.63,
s83,360_s11,10.6.5.172,data/xy/shengbei_s83_9083,shengbei_lianyun_s83,10.6.4.208,360,3306,18314,42.62.56.196,
s74,gtv_s2,192.168.110.146,data/xy/shengbei_s74_9074,shengbei_lianyun_s74,192.168.110.11,gtv,3311,17414,192.168.110.146,
s77,7k7k_s2,192.168.110.147,data/xy/shengbei_s77_9077,shengbei_lianyun_s77,192.168.110.11,7k7k,3310,17714,192.168.110.147,
s66,sina_s16,192.168.110.150,data/xy/shengbei_s66_9066,shengbei_lianyun_s66,192.168.110.11,sina,3311,16614,192.168.110.150,
s67,sina_s17,192.168.110.150,data/xy/shengbei_s67_9067,shengbei_lianyun_s67,192.168.110.11,sina,3311,16714,192.168.110.150,
s84,360_s12,10.6.5.172,data/xy/shengbei_s84_9084,shengbei_lianyun_s84,10.6.4.208,360,3306,18414,42.62.56.196,
s85,360_s13,10.6.3.29,data/xy/shengbei_s85_9085,shengbei_lianyun_s85,10.6.6.246,360,3306,18514,42.62.56.127,
s86,360_s14,10.6.3.29,data/xy/shengbei_s86_9086,shengbei_lianyun_s86,10.6.6.246,360,3306,18614,42.62.56.127,
s92,1377_s15,10.6.1.45,data/xy/shengbei_s92_9092,shengbei_lianyun_s92,10.6.8.220,1377,3306,19214,42.62.56.216,
s95,awo_s9,10.6.5.216,data/xy/shengbei_s95_9095,shengbei_lianyun_s95,10.6.3.24,awo,3306,19514,42.62.26.63,
s96,awo_s10,10.6.5.216,data/xy/shengbei_s96_9096,shengbei_lianyun_s96,10.6.3.24,awo,3306,19614,42.62.26.63,
s98,pptv_s3,10.6.8.243,data/xy/shengbei_s98_9098,shengbei_lianyun_s98,10.6.1.238,pptv,3306,19814,42.62.62.89,
s102,4399_s3,10.6.1.52,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.6.162,4399,3306,20214,42.62.62.87,
s75,gtv_s3,192.168.110.153,data/xy/shengbei_s75_9075,shengbei_lianyun_s75,192.168.110.11,gtv,3311,17514,192.168.110.153,
s76,gtv_s4,192.168.110.153,data/xy/shengbei_s76_9076,shengbei_lianyun_s76,192.168.110.11,gtv,3311,17614,192.168.110.153,
s99,renren_s6,10.6.5.72,data/xy/shengbei_s99_9099,shengbei_lianyun_s99,10.6.3.95,renren,3306,19914,42.62.26.73,
s100,renren_s7,10.6.5.72,data/xy/shengbei_s100_9100,shengbei_lianyun_s100,10.6.3.95,renren,3306,20014,42.62.26.73,
s71,2144_s3,192.168.110.145,data/xy/shengbei_s71_9071,shengbei_lianyun_s71,192.168.110.11,2144,3310,17114,192.168.110.145,
