server_id,platform_server_id,inner_server_ip,out_server_ip,server_db_name,server_db_ip,db_port,gm_port,client,2108,2109,2103
stransit_s2001,zhongshan,192.168.110.59,192.168.110.59,shengbei_transit_s2001,192.168.110.11,3309,0000,9000,2008,2009,2003
stransit_s2002,zhongshan,192.168.110.59,192.168.110.59,shengbei_transit_s2002,192.168.110.11,3309,0000,9000,2408,2409,2403
s5,sina_s5,192.168.110.66,192.168.110.66,shengbei_lianyun_s5,192.168.110.11,3309,10514,9005,2108,2109,2103
s6,sina_s1,192.168.110.59,192.168.110.59,shengbei_lianyun_s6,192.168.110.11,3309,10614,9006,2108,2109,2103
s7,sina_s2,192.168.110.59,192.168.110.59,shengbei_lianyun_s7,192.168.110.11,3309,10714,9007,2208,2209,2203
s17,sina_s8,192.168.110.161,192.168.110.161,shengbei_lianyun_s17,192.168.110.11,3309,11714,9017,2108,2109,2103
s34,sina_s11,192.168.110.59,192.168.110.59,shengbei_lianyun_s34,192.168.110.11,3309,13414,9034,2308,2309,2303
s49,gtv_s1,192.168.110.161,192.168.110.161,shengbei_lianyun_s49,192.168.110.11,3309,14914,9049,2208,2209,2203
s53,7k7k_s1,192.168.110.155,192.168.110.155,shengbei_lianyun_s53,192.168.110.11,3309,15314,9053,2108,2109,2103
s56,sina_s14,192.168.110.161,192.168.110.161,shengbei_lianyun_s56,192.168.110.11,3309,15614,9056,2308,2309,2303
s58,51_s1,192.168.110.148,192.168.110.148,shengbei_lianyun_s58,192.168.110.11,3309,15814,9058,2108,2109,2103
s67,sina_s17,192.168.110.150,192.168.110.150,shengbei_lianyun_s67,192.168.110.11,3309,16714,9067,2108,2109,2103
s70,sina_s20,192.168.110.156,192.168.110.156,shengbei_lianyun_s70,192.168.110.11,3309,17014,9070,2108,2109,2103
s74,gtv_s2,192.168.110.161,192.168.110.161,shengbei_lianyun_s74,192.168.110.11,3309,17414,9074,2408,2409,2403
s75,gtv_s3,192.168.110.156,192.168.110.156,shengbei_lianyun_s75,192.168.110.11,3309,17514,9075,2208,2209,2203
s76,gtv_s4,192.168.110.156,192.168.110.156,shengbei_lianyun_s76,192.168.110.11,3309,17614,9076,2308,2309,2303
s77,7k7k_s2,192.168.110.155,192.168.110.155,shengbei_lianyun_s77,192.168.110.11,3309,17714,9077,2208,2209,2203
s78,7k7k_s3,192.168.110.155,192.168.110.155,shengbei_lianyun_s78,192.168.110.11,3309,17814,9078,2308,2309,2303
s105,51_s2,192.168.110.148,192.168.110.148,shengbei_lianyun_s105,192.168.110.11,3309,20514,9105,2208,2209,2203
s119,gtv_s5,192.168.110.156,192.168.110.156,shengbei_lianyun_s119,192.168.110.33,3306,21914,9119,2408,2409,2403
s120,sina_s21,192.168.110.156,192.168.110.156,shengbei_lianyun_s120,192.168.110.33,3306,22014,9120,2508,2509,2503
s124,sina_s22,192.168.110.155,192.168.110.155,shengbei_lianyun_s124,192.168.110.33,3306,22414,9124,2408,2409,2403
s128,gtv_s6,192.168.110.156,192.168.110.156,shengbei_lianyun_s128,192.168.110.33,3306,22814,9128,2608,2609,2603
s131,sina_s23,192.168.110.155,192.168.110.155,shengbei_lianyun_s131,192.168.110.33,3306,23114,9131,2508,2509,2503
s136,sina_s24,192.168.110.155,192.168.110.155,shengbei_lianyun_s136,192.168.110.33,3306,23614,9136,2608,2609,2603
s147,sina_s25,192.168.110.155,192.168.110.155,shengbei_lianyun_s147,192.168.110.33,3306,24714,9147,2708,2709,2703
s148,sina_s26,192.168.110.155,192.168.110.155,shengbei_lianyun_s148,192.168.110.33,3306,24814,9148,2808,2809,2803
s160,sina_s27,192.168.110.155,192.168.110.155,shengbei_lianyun_s160,192.168.110.33,3306,26014,9160,2908,2909,2903
s161,2144_s6,192.168.110.156,192.168.110.156,shengbei_lianyun_s161,192.168.110.11,3309,26114,9161,2708,2709,2703
s162,sina_s28,192.168.110.161,192.168.110.161,shengbei_lianyun_s162,192.168.110.33,3306,26214,9162,2508,2509,2503
s174,sina_s29,192.168.110.161,192.168.110.161,shengbei_lianyun_s174,192.168.110.33,3306,27414,9174,2608,2609,2603
