server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
transit_s2001,zhongshan,192.168.110.59,data/xy/transit_s2001,shengbei_transit_s2001,192.168.110.11,sina,3309,0000,192.168.110.59,running,0
s4,sina_s6,192.168.110.66,data/xy/shengbei_s4_9004,shengbei_lianyun_s4,192.168.110.11,sina,3309,10414,192.168.110.66,merge_to_s17,1
s5,sina_s5,192.168.110.66,data/xy/shengbei_s5_9005,shengbei_lianyun_s5,192.168.110.11,sina,3309,10514,192.168.110.66,running,2
s6,sina_s1,192.168.110.59,data/xy/shengbei_s6_9006,shengbei_lianyun_s6,192.168.110.11,sina,3309,10614,192.168.110.59,running,1
s7,sina_s2,192.168.110.59,data/xy/shengbei_s7_9007,shengbei_lianyun_s7,192.168.110.11,sina,3309,10714,192.168.110.59,running,2
s8,sina_s3,192.168.110.106,data/xy/shengbei_s8_9008,shengbei_lianyun_s8,192.168.110.11,sina,3309,10814,192.168.110.106,merge_to_s5,1
s9,sina_s4,192.168.110.106,data/xy/shengbei_s9_9009,shengbei_lianyun_s9,192.168.110.11,sina,3309,10914,192.168.110.106,merge_to_s5,2
s14,sina_s7,192.168.110.59,data/xy/shengbei_s14_9014,shengbei_lianyun_s14,192.168.110.11,sina,3309,11414,192.168.110.59,merge_to_s17,3
s17,sina_s8,192.168.110.106,data/xy/shengbei_s17_9017,shengbei_lianyun_s17,192.168.110.11,sina,3309,11714,192.168.110.106,running,3
s25,sina_s9,192.168.110.66,data/xy/shengbei_s25_9025,shengbei_lianyun_s25,192.168.110.11,sina,3309,12514,192.168.110.66,merge_to_s34,3
s32,sina_s10,192.168.110.66,data/xy/shengbei_s32_9032,shengbei_lianyun_s32,192.168.110.11,sina,3309,13214,192.168.110.66,merge_to_s34,4
s34,sina_s11,192.168.110.59,data/xy/shengbei_s34_9034,shengbei_lianyun_s34,192.168.110.11,sina,3309,13414,192.168.110.59,running,4
s40,sina_s12,192.168.110.106,data/xy/shengbei_s40_9040,shengbei_lianyun_s40,192.168.110.11,sina,3309,14014,192.168.110.106,merge_to_s56,4
s46,sina_s13,192.168.110.59,data/xy/shengbei_s46_9046,shengbei_lianyun_s46,192.168.110.11,sina,3309,14614,192.168.110.59,merge_to_s56,5
s56,sina_s14,192.168.110.106,data/xy/shengbei_s56_9056,shengbei_lianyun_s56,192.168.110.11,sina,3311,15614,192.168.110.106,running,5
s60,sina_s15,192.168.110.66,data/xy/shengbei_s60_9060,shengbei_lianyun_s60,192.168.110.11,sina,3311,16014,192.168.110.66,merge_to_s67,5
s66,sina_s16,192.168.110.150,data/xy/shengbei_s66_9066,shengbei_lianyun_s66,192.168.110.11,sina,3311,16614,192.168.110.150,merge_to_s67,1
s67,sina_s17,192.168.110.150,data/xy/shengbei_s67_9067,shengbei_lianyun_s67,192.168.110.11,sina,3311,16714,192.168.110.150,running,2
s68,sina_s18,192.168.110.150,data/xy/shengbei_s68_9068,shengbei_lianyun_s68,192.168.110.11,sina,3311,16814,192.168.110.150,merge_to_s70,3
s69,sina_s19,192.168.110.151,data/xy/shengbei_s69_9069,shengbei_lianyun_s69,192.168.110.11,sina,3311,16914,192.168.110.151,merge_to_s70,1
s70,sina_s20,192.168.110.151,data/xy/shengbei_s70_9070,shengbei_lianyun_s70,192.168.110.11,sina,3311,17014,192.168.110.151,running,2
s120,sina_s21,192.168.110.151,data/xy/shengbei_s120_9120,shengbei_lianyun_s120,192.168.110.33,sina,3306,22014,192.168.110.151,running,3
s124,sina_s22,192.168.110.155,data/xy/shengbei_s124_9124,shengbei_lianyun_s124,192.168.110.33,sina,3306,22414,192.168.110.155,running,1
s131,sina_s23,192.168.110.155,data/xy/shengbei_s131_9131,shengbei_lianyun_s131,192.168.110.33,sina,3306,23114,192.168.110.155,running,2
s136,sina_s24,192.168.110.155,data/xy/shengbei_s136_9136,shengbei_lianyun_s136,192.168.110.33,sina,3306,23614,192.168.110.155,running,3
s147,sina_s25,192.168.110.155,data/xy/shengbei_s147_9147,shengbei_lianyun_s147,192.168.110.33,sina,3306,24714,192.168.110.155,running,4
s148,sina_s26,192.168.110.155,data/xy/shengbei_s148_9148,shengbei_lianyun_s148,192.168.110.33,sina,3306,24814,192.168.110.155,running,5
s160,sina_s27,192.168.110.155,data/xy/shengbei_s160_9160,shengbei_lianyun_s160,192.168.110.33,sina,3306,26014,192.168.110.155,running,6
s162,sina_s28,192.168.110.161,data/xy/shengbei_s162_9162,shengbei_lianyun_s162,192.168.110.33,sina,3306,26214,192.168.110.161,running,1
s174,sina_s29,192.168.110.161,data/xy/shengbei_s174_9174,shengbei_lianyun_s174,192.168.110.33,sina,3306,27414,192.168.110.161,running,2
s181,sina_s30,192.168.110.161,data/xy/shengbei_s181_9181,shengbei_lianyun_s181,192.168.110.33,sina,3306,28114,192.168.110.161,running,3
s203,sina_s31,192.168.110.161,data/xy/shengbei_s203_9203,shengbei_lianyun_s203,192.168.110.33,sina,3306,30314,192.168.110.161,running,4
