server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,01
transit_s2001,zhongshan,192.168.110.59,data/xy/transit_s2001,shengbei_transit_s2001,192.168.110.11,sina,3309,0000,192.168.110.59,running,0
transit_s2002,zhongshan,192.168.110.59,data/xy/transit_s2002,shengbei_transit_s2002,192.168.110.11,sina,3309,0000,192.168.110.59,running,4
s5,sina_s5,192.168.110.66,data/xy/shengbei_s5_9005,shengbei_lianyun_s5,192.168.110.11,sina,3309,10514,192.168.110.66,running,1
s17,sina_s8,192.168.110.161,data/xy/shengbei_s17_9017,shengbei_lianyun_s17,192.168.110.11,sina,3309,11714,192.168.110.161,running,1
s34,sina_s11,192.168.110.59,data/xy/shengbei_s34_9034,shengbei_lianyun_s34,192.168.110.11,sina,3309,13414,192.168.110.59,running,3
s49,gtv_s1,192.168.110.161,data/xy/shengbei_s49_9049,shengbei_lianyun_s49,192.168.110.11,gtv,3309,14914,192.168.110.161,running,2
s53,7k7k_s1,192.168.110.155,data/xy/shengbei_s53_9053,shengbei_lianyun_s53,192.168.110.11,7k7k,3309,15314,192.168.110.155,running,1
s56,sina_s14,192.168.110.161,data/xy/shengbei_s56_9056,shengbei_lianyun_s56,192.168.110.11,sina,3309,15614,192.168.110.161,running,3
s58,51_s1,192.168.110.148,data/xy/shengbei_s58_9058,shengbei_lianyun_s58,192.168.110.11,51,3309,15814,192.168.110.148,running,1
s67,sina_s17,192.168.110.150,data/xy/shengbei_s67_9067,shengbei_lianyun_s67,192.168.110.11,sina,3309,16714,192.168.110.150,running,1
s70,sina_s20,192.168.110.156,data/xy/shengbei_s70_9070,shengbei_lianyun_s70,192.168.110.11,sina,3309,17014,192.168.110.156,running,1
s74,gtv_s2,192.168.110.161,data/xy/shengbei_s74_9074,shengbei_lianyun_s74,192.168.110.11,gtv,3309,17414,192.168.110.161,running,4
s75,gtv_s3,192.168.110.156,data/xy/shengbei_s75_9075,shengbei_lianyun_s75,192.168.110.11,gtv,3309,17514,192.168.110.156,running,2
s76,gtv_s4,192.168.110.156,data/xy/shengbei_s76_9076,shengbei_lianyun_s76,192.168.110.11,gtv,3309,17614,192.168.110.156,running,3
s77,7k7k_s2,192.168.110.155,data/xy/shengbei_s77_9077,shengbei_lianyun_s77,192.168.110.11,7k7k,3309,17714,192.168.110.155,running,2
s78,7k7k_s3,192.168.110.155,data/xy/shengbei_s78_9078,shengbei_lianyun_s78,192.168.110.11,7k7k,3309,17814,192.168.110.155,running,3
s105,51_s2,192.168.110.148,data/xy/shengbei_s105_9105,shengbei_lianyun_s105,192.168.110.11,51,3309,20514,192.168.110.148,running,2
s119,gtv_s5,192.168.110.156,data/xy/shengbei_s119_9119,shengbei_lianyun_s119,192.168.110.33,gtv,3306,21914,192.168.110.156,running,4
s120,sina_s21,192.168.110.156,data/xy/shengbei_s120_9120,shengbei_lianyun_s120,192.168.110.33,sina,3306,22014,192.168.110.156,running,5
s124,sina_s22,192.168.110.155,data/xy/shengbei_s124_9124,shengbei_lianyun_s124,192.168.110.33,sina,3306,22414,192.168.110.155,running,4
s128,gtv_s6,192.168.110.156,data/xy/shengbei_s128_9128,shengbei_lianyun_s128,192.168.110.33,gtv,3306,22814,192.168.110.156,running,6
s131,sina_s23,192.168.110.155,data/xy/shengbei_s131_9131,shengbei_lianyun_s131,192.168.110.33,sina,3306,23114,192.168.110.155,running,5
s136,sina_s24,192.168.110.155,data/xy/shengbei_s136_9136,shengbei_lianyun_s136,192.168.110.33,sina,3306,23614,192.168.110.155,running,6
s147,sina_s25,192.168.110.155,data/xy/shengbei_s147_9147,shengbei_lianyun_s147,192.168.110.33,sina,3306,24714,192.168.110.155,running,7
s148,sina_s26,192.168.110.155,data/xy/shengbei_s148_9148,shengbei_lianyun_s148,192.168.110.33,sina,3306,24814,192.168.110.155,running,8
s160,sina_s27,192.168.110.155,data/xy/shengbei_s160_9160,shengbei_lianyun_s160,192.168.110.33,sina,3306,26014,192.168.110.155,running,9
s161,2144_s6,192.168.110.156,data/xy/shengbei_s161_9161,shengbei_lianyun_s161,192.168.110.11,2144,3309,26114,192.168.110.156,running,7
s162,sina_s28,192.168.110.161,data/xy/shengbei_s162_9162,shengbei_lianyun_s162,192.168.110.33,sina,3306,26214,192.168.110.161,running,5
s174,sina_s29,192.168.110.161,data/xy/shengbei_s174_9174,shengbei_lianyun_s174,192.168.110.33,sina,3306,27414,192.168.110.161,running,6
s181,sina_s30,192.168.110.161,data/xy/shengbei_s181_9181,shengbei_lianyun_s181,192.168.110.33,sina,3306,28114,192.168.110.161,running,7
s184,gtv_s7,192.168.110.156,data/xy/shengbei_s184_9184,shengbei_lianyun_s184,192.168.110.33,gtv,3306,28414,192.168.110.156,running,8
s196,gtv_s8,192.168.110.156,data/xy/shengbei_s196_9196,shengbei_lianyun_s196,192.168.110.33,gtv,3306,29614,192.168.110.156,running,9
s203,sina_s31,192.168.110.161,data/xy/shengbei_s203_9203,shengbei_lianyun_s203,192.168.110.33,sina,3306,30314,192.168.110.161,running,8
s233,sina_s32,192.168.110.161,data/xy/shengbei_s233_9233,shengbei_lianyun_s233,192.168.110.33,sina,3306,33314,192.168.110.161,running,9
s296,sina_s33,192.168.110.106,data/xy/shengbei_s296_9296,shengbei_lianyun_s296,192.168.110.33,sina,3306,33314,192.168.110.106,running,1
s315,sina_s34,192.168.110.106,data/xy/shengbei_s315_9315,shengbei_lianyun_s315,192.168.110.33,sina,3306,33314,192.168.110.106,running,2
