server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,01
s41,360_s6,10.6.7.173,data/xy/shengbei_s41_9041,shengbei_lianyun_s41,10.6.4.220,360,3306,14114,42.62.62.86,running,01
s50,360_s8,10.6.7.173,data/xy/shengbei_s50_9050,shengbei_lianyun_s50,10.6.4.220,360,3306,15014,42.62.62.86,running,02
s84,360_s12,10.6.7.157,data/xy/shengbei_s84_9084,shengbei_lianyun_s84,10.6.4.220,360,3306,18414,42.62.56.227,running,02
s85,360_s13,10.6.8.102,data/xy/shengbei_s85_9085,shengbei_lianyun_s85,10.6.4.220,360,3306,18514,42.62.62.19,running,02
s86,360_s14,10.6.8.102,data/xy/shengbei_s86_9086,shengbei_lianyun_s86,10.6.4.220,360,3306,18614,42.62.62.19,running,03
s87,360_s15,10.6.8.102,data/xy/shengbei_s87_9087,shengbei_lianyun_s87,10.6.4.220,360,3306,18714,42.62.62.19,running,04
s88,360_s16,10.6.7.157,data/xy/shengbei_s88_9088,shengbei_lianyun_s88,10.6.4.220,360,3306,18814,42.62.56.227,running,03
s102,4399_s3,10.6.7.108,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.3.121,4399,3306,20214,42.62.56.206,running,03
s107,360_s17,10.6.7.157,data/xy/shengbei_s107_9107,shengbei_lianyun_s107,10.6.4.220,360,3306,20714,42.62.56.227,running,05
s110,360_s18,10.6.7.157,data/xy/shengbei_s110_9110,shengbei_lianyun_s110,10.6.4.220,360,3306,21014,42.62.56.227,running,06
s112,4399_s4,10.6.1.121,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.3.121,4399,3306,21214,42.62.56.250,running,06
s114,360_s19,10.6.1.121,data/xy/shengbei_s114_9114,shengbei_lianyun_s114,10.6.4.220,360,3306,21414,42.62.56.250,running,07
s117,360_s20,10.6.1.121,data/xy/shengbei_s117_9117,shengbei_lianyun_s117,10.6.4.220,360,3306,21714,42.62.56.250,running,09
s123,360_s21,10.6.1.121,data/xy/shengbei_s123_9123,shengbei_lianyun_s123,10.6.4.220,360,3306,22314,42.62.56.250,running,10
s126,360_s22,10.6.7.108,data/xy/shengbei_s126_9126,shengbei_lianyun_s126,10.6.4.220,360,3306,22614,42.62.56.206,running,11
s130,360_s23,10.6.7.108,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.3.121,360,3306,23014,42.62.56.206,running,13
s135,360_s24,10.6.7.108,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.3.121,360,3306,23514,42.62.56.206,running,17
s137,360_s25,10.6.7.108,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.3.121,360,3306,23714,42.62.56.206,running,18
s141,4399_s5,10.6.1.121,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.3.121,4399,3306,24114,42.62.56.250,running,11
s143,360_s26,10.6.7.108,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.3.121,360,3306,24314,42.62.56.206,running,22
s149,360_s27,10.6.7.108,data/xy/shengbei_s149_9149,shengbei_lianyun_s149,10.6.3.121,360,3306,24914,42.62.56.206,running,24
s152,360_s28,10.6.7.108,data/xy/shengbei_s152_9152,shengbei_lianyun_s152,10.6.3.121,360,3306,25214,42.62.56.206,running,26
s155,360_s29,10.6.7.108,data/xy/shengbei_s155_9155,shengbei_lianyun_s155,10.6.3.121,360,3306,25514,42.62.56.206,running,28
s163,360_s30,10.6.8.102,data/xy/shengbei_s163_9163,shengbei_lianyun_s163,10.6.3.121,360,3306,26314,42.62.62.19,running,09
s166,360_s31,10.6.8.102,data/xy/shengbei_s166_9166,shengbei_lianyun_s166,10.6.3.121,360,3306,26614,42.62.62.19,running,10
s168,360_s32,10.6.8.102,data/xy/shengbei_s168_9168,shengbei_lianyun_s168,10.6.3.121,360,3306,26814,42.62.62.19,running,11
