server_id,platform_server_id,server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,
s10,360_s1,10.6.7.157,data/xy/shengbei_s10_9010,shengbei_lianyun_s10,10.6.3.121,360,3306,11014,
s11,1377_s1,10.6.7.157,data/xy/shengbei_s11_9011,shengbei_lianyun_s11,10.6.3.121,1377,3306,11114,
s12,1377_s2,10.6.7.234,data/xy/shengbei_s12_9012,shengbei_lianyun_s12,10.6.3.121,1377,3306,11214,
s13,1377_s3,10.6.7.234,data/xy/shengbei_s13_9013,shengbei_lianyun_s13,10.6.3.121,1377,3306,11314,
s15,1377_s4,10.6.3.139,data/xy/shengbei_s15_9015,shengbei_lianyun_s15,10.6.3.121,1377,3306,11514,
s16,360_s2,10.6.3.232,data/xy/shengbei_s16_9016,shengbei_lianyun_s16,10.6.3.121,360,3306,11614,
s18,1377_s5,10.6.8.55,data/xy/shengbei_s18_9018,shengbei_lianyun_s18,10.6.3.121,1377,3306,11814,
s19,1377_s6,10.6.8.102,data/xy/shengbei_s19_9019,shengbei_lianyun_s19,10.6.3.121,1377,3306,11914,
s20,1377_s7,10.6.1.45,data/xy/shengbei_s20_9020,shengbei_lianyun_s20,10.6.3.121,1377,3306,12014,
s21,1377_s8,10.6.1.45,data/xy/shengbei_s21_9021,shengbei_lianyun_s21,10.6.3.121,1377,3306,12114,
s22,1377_s9,10.6.6.10,data/xy/shengbei_s22_9022,shengbei_lianyun_s22,10.6.5.59,1377,3306,12214,
s23,1377_s10,10.6.6.10,data/xy/shengbei_s23_9023,shengbei_lianyun_s23,10.6.5.59,1377,3306,12314,
s24,1377_s11,10.6.8.102,data/xy/shengbei_s24_9024,shengbei_lianyun_s24,10.6.5.59,1377,3306,12414,
s26,1377_s12,10.6.8.55,data/xy/shengbei_s26_9026,shengbei_lianyun_s26,10.6.5.59,1377,3306,12614,
s27,360_s3,10.6.3.232,data/xy/shengbei_s27_9027,shengbei_lianyun_s27,10.6.3.121,360,3306,12714,
s28,u17_s2,10.6.3.139,data/xy/shengbei_s28_9028,shengbei_lianyun_s28,10.6.5.59,u17,3306,12814,
s29,awo_s1,10.6.5.214,data/xy/shengbei_s29_9029,shengbei_lianyun_s29,10.6.5.59,awo,3306,12914,
s30,u17_s1,10.6.5.214,data/xy/shengbei_s30_9030,shengbei_lianyun_s30,10.6.5.59,u17,3306,13014,
s31,360_s4,10.6.7.170,data/xy/shengbei_s31_9031,shengbei_lianyun_s31,10.6.4.208,360,3306,13114,
s33,pptv_s1,10.6.8.243,data/xy/shengbei_s33_9033,shengbei_lianyun_s33,10.6.1.238,pptv,3306,13314,
s35,4399_s1,10.6.1.52,data/xy/shengbei_s35_9035,shengbei_lianyun_s35,10.6.6.162,4399,3306,13514,
s36,360_s5,10.6.7.170,data/xy/shengbei_s36_9036,shengbei_lianyun_s36,10.6.4.208,360,3306,13614,
s37,awo_s2,10.6.5.214,data/xy/shengbei_s37_9037,shengbei_lianyun_s37,10.6.5.59,awo,3306,13714,
s38,renren_s1,10.6.7.234,data/xy/shengbei_s38_9038,shengbei_lianyun_s38,10.6.5.59,renren,3306,13814,
s41,360_s6,10.6.7.170,data/xy/shengbei_s41_9041,shengbei_lianyun_s41,10.6.4.208,360,3306,14114,
s42,awo_s3,10.6.3.139,data/xy/shengbei_s42_9042,shengbei_lianyun_s42,10.6.5.59,awo,3306,14214,
s43,360_s7,10.6.7.173,data/xy/shengbei_s43_9043,shengbei_lianyun_s43,10.6.4.208,360,3306,14314,
s44,renren_s2,10.6.3.232,data/xy/shengbei_s44_9044,shengbei_lianyun_s44,10.6.5.59,renren,3306,14414,
s47,1377_s13,10.6.8.55,data/xy/shengbei_s47_9047,shengbei_lianyun_s47,10.6.2.83,1377,3306,14714,
s48,awo_s4,10.6.1.213,data/xy/shengbei_s48_9048,shengbei_lianyun_s48,10.6.2.83,awo,3306,14814,
s50,360_s8,10.6.7.173,data/xy/shengbei_s50_9050,shengbei_lianyun_s50,10.6.4.208,360,3306,15014,
s51,pptv_s2,10.6.8.243,data/xy/shengbei_s51_9051,shengbei_lianyun_s51,10.6.1.238,pptv,3306,15114,
s52,renren_s3,10.6.5.84,data/xy/shengbei_s52_9052,shengbei_lianyun_s52,10.6.2.83,renren,3306,15214,
s55,awo_s5,10.6.1.213,data/xy/shengbei_s55_9055,shengbei_lianyun_s55,10.6.2.83,awo,3306,15514,
s57,awo_s6,10.6.1.213,data/xy/shengbei_s57_9057,shengbei_lianyun_s57,10.6.2.83,awo,3306,15714,
s59,renren_s4,10.6.5.84,data/xy/shengbei_s59_9059,shengbei_lianyun_s59,10.6.2.83,renren,3306,15914,
