server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s18,1377_s5,10.6.8.55,data/xy/shengbei_s18_9018,shengbei_lianyun_s18,10.6.3.121,1377,3306,11814,42.62.62.18,running,
s23,1377_s10,10.6.6.10,data/xy/shengbei_s23_9023,shengbei_lianyun_s23,10.6.5.59,1377,3306,12314,42.62.56.209,running,
s24,1377_s11,10.6.8.102,data/xy/shengbei_s24_9024,shengbei_lianyun_s24,10.6.5.59,1377,3306,12414,42.62.62.19,running,
s26,1377_s12,10.6.8.55,data/xy/shengbei_s26_9026,shengbei_lianyun_s26,10.6.5.59,1377,3306,12614,42.62.62.18,running,
s28,u17_s2,10.6.3.139,data/xy/shengbei_s28_9028,shengbei_lianyun_s28,10.6.5.59,u17,3306,12814,42.62.62.16,running,
s29,awo_s1,10.6.5.214,data/xy/shengbei_s29_9029,shengbei_lianyun_s29,10.6.5.59,awo,3306,12914,42.62.62.15,running,
s30,u17_s1,10.6.5.214,data/xy/shengbei_s30_9030,shengbei_lianyun_s30,10.6.5.59,u17,3306,13014,42.62.62.15,running,
s33,pptv_s1,10.6.8.243,data/xy/shengbei_s33_9033,shengbei_lianyun_s33,10.6.1.238,pptv,3306,13314,42.62.62.89,running,
s37,awo_s2,10.6.5.214,data/xy/shengbei_s37_9037,shengbei_lianyun_s37,10.6.5.59,awo,3306,13714,42.62.62.15,running,
s38,renren_s1,10.6.7.234,data/xy/shengbei_s38_9038,shengbei_lianyun_s38,10.6.5.59,renren,3306,13814,42.62.56.214,running,
s42,awo_s3,10.6.3.139,data/xy/shengbei_s42_9042,shengbei_lianyun_s42,10.6.5.59,awo,3306,14214,42.62.62.16,running,
s44,renren_s2,10.6.3.232,data/xy/shengbei_s44_9044,shengbei_lianyun_s44,10.6.5.59,renren,3306,14414,42.62.62.17,running,
s47,1377_s13,10.6.8.55,data/xy/shengbei_s47_9047,shengbei_lianyun_s47,10.6.2.83,1377,3306,14714,42.62.62.18,running,
