server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s10,360_s1,10.6.7.157,data/xy/shengbei_s10_9010,shengbei_lianyun_s10,10.6.3.121,360,3306,11014,42.62.56.227,running,
s16,360_s2,10.6.3.232,data/xy/shengbei_s16_9016,shengbei_lianyun_s16,10.6.3.121,360,3306,11614,42.62.62.17,running,
s18,1377_s5,10.6.8.55,data/xy/shengbei_s18_9018,shengbei_lianyun_s18,10.6.3.121,1377,3306,11814,42.62.62.18,running,
s23,1377_s10,10.6.6.10,data/xy/shengbei_s23_9023,shengbei_lianyun_s23,10.6.5.59,1377,3306,12314,42.62.56.209,running,
s24,1377_s11,10.6.8.102,data/xy/shengbei_s24_9024,shengbei_lianyun_s24,10.6.5.59,1377,3306,12414,42.62.62.19,running,
s26,1377_s12,10.6.8.55,data/xy/shengbei_s26_9026,shengbei_lianyun_s26,10.6.5.59,1377,3306,12614,42.62.62.18,running,
s27,360_s3,10.6.3.232,data/xy/shengbei_s27_9027,shengbei_lianyun_s27,10.6.3.121,360,3306,12714,42.62.62.17,running,
s28,u17_s2,10.6.3.139,data/xy/shengbei_s28_9028,shengbei_lianyun_s28,10.6.5.59,u17,3306,12814,42.62.62.16,running,
s30,u17_s1,10.6.5.214,data/xy/shengbei_s30_9030,shengbei_lianyun_s30,10.6.5.59,u17,3306,13014,42.62.62.15,running,
s31,360_s4,10.6.7.170,data/xy/shengbei_s31_9031,shengbei_lianyun_s31,10.6.4.208,360,3306,13114,42.62.62.80,running,
s33,pptv_s1,10.6.8.243,data/xy/shengbei_s33_9033,shengbei_lianyun_s33,10.6.1.238,pptv,3306,13314,42.62.62.89,running,
s35,4399_s1,10.6.1.52,data/xy/shengbei_s35_9035,shengbei_lianyun_s35,10.6.6.162,4399,3306,13514,42.62.62.87,running,
s36,360_s5,10.6.7.170,data/xy/shengbei_s36_9036,shengbei_lianyun_s36,10.6.4.208,360,3306,13614,42.62.62.80,running,
s38,renren_s1,10.6.7.234,data/xy/shengbei_s38_9038,shengbei_lianyun_s38,10.6.5.59,renren,3306,13814,42.62.56.214,running,
s39,4399_s2,10.6.1.52,data/xy/shengbei_s39_9039,shengbei_lianyun_s39,10.6.6.162,4399,3306,13914,42.62.62.87,running,
s41,360_s6,10.6.7.170,data/xy/shengbei_s41_9041,shengbei_lianyun_s41,10.6.4.208,360,3306,14114,42.62.62.80,running,
s42,awo_s3,10.6.3.139,data/xy/shengbei_s42_9042,shengbei_lianyun_s42,10.6.5.59,awo,3306,14214,42.62.62.16,running,
s43,360_s7,10.6.7.173,data/xy/shengbei_s43_9043,shengbei_lianyun_s43,10.6.4.208,360,3306,14314,42.62.62.86,running,
s44,renren_s2,10.6.3.232,data/xy/shengbei_s44_9044,shengbei_lianyun_s44,10.6.5.59,renren,3306,14414,42.62.62.17,running,
s47,1377_s13,10.6.8.55,data/xy/shengbei_s47_9047,shengbei_lianyun_s47,10.6.2.83,1377,3306,14714,42.62.62.18,running,
s48,awo_s4,10.6.1.213,data/xy/shengbei_s48_9048,shengbei_lianyun_s48,10.6.2.83,awo,3306,14814,42.62.62.88,running,
s50,360_s8,10.6.7.173,data/xy/shengbei_s50_9050,shengbei_lianyun_s50,10.6.4.208,360,3306,15014,42.62.62.86,running,
s51,pptv_s2,10.6.8.243,data/xy/shengbei_s51_9051,shengbei_lianyun_s51,10.6.1.238,pptv,3306,15114,42.62.62.89,running,
s52,renren_s3,10.6.5.84,data/xy/shengbei_s52_9052,shengbei_lianyun_s52,10.6.2.83,renren,3306,15214,42.62.62.90,running,
s59,renren_s4,10.6.5.84,data/xy/shengbei_s59_9059,shengbei_lianyun_s59,10.6.2.83,renren,3306,15914,42.62.62.90,running,
s62,360_s9,10.6.7.173,data/xy/shengbei_s62_9062,shengbei_lianyun_s62,10.6.4.208,360,3306,16214,42.62.62.86,running,
s63,renren_s5,10.6.5.84,data/xy/shengbei_s63_9063,shengbei_lianyun_s63,10.6.2.83,renren,3306,16314,42.62.62.90,running,
s64,91wan_s1,10.6.5.169,data/xy/shengbei_s64_9064,shengbei_lianyun_s64,10.6.5.191,91wan,3306,16414,42.62.3.179,running,
s65,smggame_s1,10.6.4.233,data/xy/shengbei_s65_9065,shengbei_lianyun_s65,10.6.5.160,smggame,3306,16514,42.62.56.33,running,
