server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s262,1717in_s2,10.6.7.108,data/xy/shengbei_s262_9262,shengbei_lianyun_s262,10.6.3.39,1717in,3306,36214,42.62.56.206,running,9
s274,1717in_s3,10.6.5.214,data/xy/shengbei_s274_9274,shengbei_lianyun_s274,10.6.3.39,1717in,3306,36214,42.62.62.15,running,2
s288,1717in_s4,10.6.7.234,data/xy/shengbei_s288_9288,shengbei_lianyun_s288,10.6.3.39,1717in,3306,36214,42.62.56.214,running,5
s289,1717in_s5,10.6.7.234,data/xy/shengbei_s289_9289,shengbei_lianyun_s289,10.6.3.39,1717in,3306,36214,42.62.56.214,running,10
s290,1717in_s6,10.6.7.234,data/xy/shengbei_s290_9290,shengbei_lianyun_s290,10.6.3.39,1717in,3306,36214,42.62.56.214,running,11
s291,1717in_s7,10.6.7.234,data/xy/shengbei_s291_9291,shengbei_lianyun_s291,10.6.3.39,1717in,3306,36214,42.62.56.214,running,12
s298,1717in_s8,10.6.7.234,data/xy/shengbei_s298_9298,shengbei_lianyun_s298,10.6.3.39,1717in,3306,36214,42.62.56.214,running,15
s309,1717in_s9,10.6.6.10,data/xy/shengbei_s309_9309,shengbei_lianyun_s309,10.6.3.39,1717in,3306,36214,42.62.56.209,running,4
s343,1717in_s10,10.6.7.108,data/xy/shengbei_s343_9343,shengbei_lianyun_s343,10.6.5.191,1717in,3306,36214,42.62.56.206,running,18
s344,1717in_s11,10.6.7.108,data/xy/shengbei_s344_9344,shengbei_lianyun_s344,10.6.5.191,1717in,3306,36214,42.62.56.206,running,19
s345,1717in_s12,10.6.7.108,data/xy/shengbei_s345_9345,shengbei_lianyun_s345,10.6.5.191,1717in,3306,36214,42.62.56.206,running,8
s346,1717in_s13,10.6.7.108,data/xy/shengbei_s346_9346,shengbei_lianyun_s346,10.6.5.191,1717in,3306,36214,42.62.56.206,running,11
s352,1717in_s14,10.6.8.102,data/xy/shengbei_s352_9352,shengbei_lianyun_s352,10.6.5.191,1717in,3306,36214,42.62.62.19,running,10
s354,1717in_s15,10.6.8.102,data/xy/shengbei_s354_9354,shengbei_lianyun_s354,10.6.5.191,1717in,3306,36214,42.62.62.19,running,12
s359,1717in_s16,10.6.8.102,data/xy/shengbei_s359_9359,shengbei_lianyun_s359,10.6.5.191,1717in,3306,36214,42.62.62.19,running,14
s360,1717in_s17,10.6.8.102,data/xy/shengbei_s360_9360,shengbei_lianyun_s360,10.6.5.191,1717in,3306,36214,42.62.62.19,running,15
s367,1717in_s18,10.6.7.173,data/xy/shengbei_s367_9367,shengbei_lianyun_s367,10.6.5.191,1717in,3306,36214,42.62.62.86,running,7
s368,1717in_s19,10.6.7.173,data/xy/shengbei_s368_9368,shengbei_lianyun_s368,10.6.5.191,1717in,3306,36214,42.62.62.86,running,8
s382,1717in_s20,10.6.3.139,data/xy/shengbei_s382_9382,shengbei_lianyun_s382,10.6.5.191,1717in,3306,36214,42.62.62.16,running,5
s383,1717in_s21,10.6.3.139,data/xy/shengbei_s383_9383,shengbei_lianyun_s383,10.6.5.191,1717in,3306,36214,42.62.62.16,running,6
s387,1717in_s22,10.6.3.139,data/xy/shengbei_s387_9387,shengbei_lianyun_s387,10.6.5.191,1717in,3306,36214,42.62.62.16,running,11
s388,1717in_s23,10.6.3.139,data/xy/shengbei_s388_9388,shengbei_lianyun_s388,10.6.5.191,1717in,3306,36214,42.62.62.16,running,12
