server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,01
s64,91wan_s1,10.6.7.108,data/xy/shengbei_s64_9064,shengbei_lianyun_s64,10.6.5.191,91wan,3306,16414,42.62.56.206,running,01
s79,kaixin001_s1,10.6.1.121,data/xy/shengbei_s79_9079,shengbei_lianyun_s79,10.6.3.39,kaixin001,3306,17914,42.62.56.250,running,03
s80,pps_s1,10.6.7.108,data/xy/shengbei_s80_9080,shengbei_lianyun_s80,10.6.8.122,pps,3306,18014,42.62.56.206,running,02
s102,4399_s3,10.6.7.108,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.8.122,4399,3306,20214,42.62.56.206,running,03
s103,91wan_s2,10.6.7.108,data/xy/shengbei_s103_9103,shengbei_lianyun_s103,10.6.5.191,91wan,3306,20314,42.62.56.206,running,04
s109,pps_s2,10.6.7.108,data/xy/shengbei_s109_9109,shengbei_lianyun_s109,10.6.8.122,pps,3306,20914,42.62.56.206,running,07
s112,4399_s4,10.6.1.121,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.8.122,4399,3306,21214,42.62.56.250,running,06
s113,pps_s3,10.6.7.108,data/xy/shengbei_s113_9113,shengbei_lianyun_s113,10.6.8.122,pps,3306,21314,42.62.56.206,running,08
s129,8090_s3,10.6.7.157,data/xy/shengbei_s129_9129,shengbei_lianyun_s129,10.6.8.122,8090,3306,22914,42.62.56.227,running,07
s130,360_s23,10.6.7.108,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.8.122,360,3306,23014,42.62.56.206,running,13
s132,91wan_s3,10.6.7.108,data/xy/shengbei_s132_9132,shengbei_lianyun_s132,10.6.5.191,91wan,3306,23214,42.62.56.206,running,14
s134,8090_s4,10.6.7.108,data/xy/shengbei_s134_9134,shengbei_lianyun_s134,10.6.8.122,8090,3306,23414,42.62.56.206,running,16
s135,360_s24,10.6.7.108,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.8.122,360,3306,23514,42.62.56.206,running,17
s137,360_s25,10.6.7.108,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.8.122,360,3306,23714,42.62.56.206,running,18
s140,8090_s5,10.6.7.108,data/xy/shengbei_s140_9140,shengbei_lianyun_s140,10.6.8.122,8090,3306,24014,42.62.56.206,running,21
s141,4399_s5,10.6.1.121,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.8.122,4399,3306,24114,42.62.56.250,running,11
s143,360_s26,10.6.7.108,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.8.122,360,3306,24314,42.62.56.206,running,22
s145,91wan_s4,10.6.5.72,data/xy/shengbei_s145_9145,shengbei_lianyun_s145,10.6.5.191,91wan,3306,24514,42.62.26.73,running,09
s146,8090_s6,10.6.7.108,data/xy/shengbei_s146_9146,shengbei_lianyun_s146,10.6.8.122,8090,3306,24614,42.62.56.206,running,23
s149,360_s27,10.6.7.108,data/xy/shengbei_s149_9149,shengbei_lianyun_s149,10.6.8.122,360,3306,24914,42.62.56.206,running,24
s151,91wan_s5,10.6.5.72,data/xy/shengbei_s151_9151,shengbei_lianyun_s151,10.6.5.191,91wan,3306,25114,42.62.26.73,running,10
s152,360_s28,10.6.7.108,data/xy/shengbei_s152_9152,shengbei_lianyun_s152,10.6.8.122,360,3306,25214,42.62.56.206,running,26
s155,360_s29,10.6.7.108,data/xy/shengbei_s155_9155,shengbei_lianyun_s155,10.6.8.122,360,3306,25514,42.62.56.206,running,28
s156,8090_s7,10.6.7.108,data/xy/shengbei_s156_9156,shengbei_lianyun_s156,10.6.8.122,8090,3306,25614,42.62.56.206,running,29
s163,360_s30,10.6.8.102,data/xy/shengbei_s163_9163,shengbei_lianyun_s163,10.6.8.122,360,3306,26314,42.62.62.19,running,09
s164,91wan_s6,10.6.5.72,data/xy/shengbei_s164_9164,shengbei_lianyun_s164,10.6.5.191,91wan,3306,26414,42.62.26.73,running,12
s166,360_s31,10.6.8.102,data/xy/shengbei_s166_9166,shengbei_lianyun_s166,10.6.8.122,360,3306,26614,42.62.62.19,running,10
s168,360_s32,10.6.8.102,data/xy/shengbei_s168_9168,shengbei_lianyun_s168,10.6.8.122,360,3306,26814,42.62.62.19,running,11
s173,8090_s8,10.6.7.108,data/xy/shengbei_s173_9173,shengbei_lianyun_s173,10.6.8.122,8090,3306,27314,42.62.56.206,running,32
s175,91wan_s7,10.6.5.72,data/xy/shengbei_s175_9175,shengbei_lianyun_s175,10.6.5.191,91wan,3306,27514,42.62.26.73,running,16
s176,360_s33,10.6.8.102,data/xy/shengbei_s176_9176,shengbei_lianyun_s176,10.6.8.122,360,3306,27614,42.62.62.19,running,12
s179,360_s34,10.6.8.102,data/xy/shengbei_s179_9179,shengbei_lianyun_s179,10.6.8.122,360,3306,27914,42.62.62.19,running,13
s183,360_s35,10.6.8.102,data/xy/shengbei_s183_9183,shengbei_lianyun_s183,10.6.8.122,360,3306,28314,42.62.62.19,running,14
s188,360_s36,10.6.7.173,data/xy/shengbei_s188_9188,shengbei_lianyun_s188,10.6.8.122,360,3306,28814,42.62.62.86,running,09
